track_name,artist_name
the little man who wasn't there,glenn miller
american psycho,misfits
somebody that i used to know,elliott smith
juke box blues,june carter cash
"karn evil 9 1st impression, pt. 1","emerson, lake & palmer"
another love song,queens of the stone age
immortal,adema
stop! in the name of love,the supremes
bewildered,the notting hillbillies
hyper,sticky fingers
walk on by,diana krall
dig,mudvayne
love it if we made it,the 1975
listen to your heart,little river band
i'll drown in my tears,johnny winter
please don't tell me how the story ends,freddy fender
love me tomorrow,boz scaggs
build your nest,"earth, wind & fire"
o holy night,nat king cole
america (feat. p.o.d.),santana
for you for me for evermore,ella fitzgerald
blue and sentimental,julian dash
powaful impak!,black moon
when i had you with me,the beautiful girls
rich game,gucci mane
before the storm,jonas brothers
99 year blues,hot tuna
can't cash my checks,jamey johnson
tennessee flat top box,rosanne cash
feel something,jaymes young
cold blows the wind,ween
hold on,michael bublé
sweet savannah sue,louis armstrong
i was drunk,alejandro escovedo
follow me,muse
kill the medicine man,ron gallo
i could believe anything,david lee murphy
i don't hurt anymore,hank locklin
runaway,half•alive
it'll be her,waylon jennings
version,clinton fearon
siberian breaks,mgmt
don't need no horse,little walter
i feel the same,bonnie raitt
dead on arrival,billy idol
spirits will collide,devin townsend
putty in your hands,the shirelles
just say goodbye,esther phillips
i'm one,the who
waking the demon,bullet for my valentine
no more hot dogs,hasil adkins
changes,langhorne slim
it's great to be alive,johnny mercer
pavane,regina carter
on trial,haystak
i woke up in love this morning,david cassidy
isolation,joe cocker
you're nobody til somebody loves you,sam cooke
away from me,puddle of mudd
disguise,dirty heads
soul stripper,ac/dc
modern man,bad religion
me and jesus (extra special bonus track),brad paisley
high tide or low tide,bob marley & the wailers
butt ugly slut,roger alan wade
no easy way down,dusty springfield
black is the color of my true love's hair,nina simone
beetlebum,blur
honest opinion,alpha & omega
till the walls come tumblin' down,the j. geils band
my favorite ladies,mf doom
the song is ended (but the melody lingers on),nat king cole
champ,govana
i'll thank you all my life,jean shepard
redeemer,nicole c. mullen
roll call,hank mobley
tom traubert's blues (four sheets to the wind in copenhagen),tom waits
dallas days and fort worth nights,chris ledoux
early in the morning,vanity fare
speak your heart,lizz wright
hangover heart,hank thompson
smile,neil sedaka
a legend in my time,johnny cash
uptight,green day
mexican blood,thin lizzy
"love me, my love",dean martin
eleanor,louis prima
the hot pearl snatch,the cramps
c,thee oh sees
disconnected,rjd2
promises,macka b
magnum opus: father padilla meets the perfect gnat / howling at the moon / man overboard / industry on parade / release the beavers / gnat attack,kansas
seattle party,chastity belt
my way,elvis presley
when you touch me,the guess who
o.p.p. (re-recorded),naughty by nature
selling out,ballyhoo!
mandolin rain,bruce hornsby
don't change,simplified
(rock) superstar,cypress hill
ready for the taking,robin trower
join the band,little feat
diary of a madman,ozzy osbourne
mystery babylon,peter tosh
shot from the saddle,delbert mcclinton
waste,phish
let's fall in love,nancy sinatra
busted,charley pride
what you won't do for love,phyllis hyman
come with me,rick braun
smokin',slave
dream,love
steer me right,the neville brothers
kill again,slayer
stax jam,galactic
catch my drift,leroyce
just you just me,ella fitzgerald
fucker,the brian jonestown massacre
stop trying to be god,travis scott
funnybones & lazylegs,xploding plastix
loving you beats all i ever seen,johnny paycheck
shooting hoops,g. love & special sauce
"party shot (ravin, pt. 2)",popcaan
free as a bird,soom t
roads girdle the globe,xtc
i changed my mind,keyshia cole
them that got,maceo parker
here in heaven,sparks
go away,strawberry switchblade
"soul sacrifice / head, hands & feet",santana
never be like you (feat. kai),flume
high hopes,pink floyd
death to everyone,"bonnie ""prince"" billy"
five magics,megadeth
i'll never fall in love again,mary chapin carpenter
let's get together (one last time),tammy wynette
dream a little dream of me,bing crosby
